Gene_ID	Gene_Name	AML_BDCM	AML_P31_FUJ	AML_PL-21	chondrosarcoma_CAL-78	chondrosarcoma_Hs819.T	chondrosarcoma_SW-1353
ENSG00000000003	TSPAN6	0.1		0.1	9.0	3.0	7.0
ENSG00000000005	TNMD						0.1
ENSG00000000419	DPM1	45.0	43.0	36.0	49.0	25.0	36.0
ENSG00000000457	SCYL3	5.0	2.0	3.0	2.0	1.0	1.0
ENSG00000000460	C1orf112	5.0	3.0	5.0	3.0	0.5	2.0
ENSG00000000938	FGR	74.0	9.0	45.0			
ENSG00000000971	CFH				17.0	23.0	0.7
ENSG00000001036	FUCA2	15.0	46.0	31.0	21.0	31.0	28.0
ENSG00000001084	GCLC	5.0	9.0	8.0	7.0	3.0	5.0
ENSG00000001167	NFYA	13.0	15.0	21.0	12.0	5.0	12.0
ENSG00000001460	STPG1	0.4	1.0	0.7	2.0	1.0	2.0
ENSG00000001461	NIPAL3	3.0	9.0	3.0	21.0	12.0	10.0
ENSG00000001497	LAS1L	24.0	18.0	16.0	16.0	4.0	9.0
ENSG00000001561	ENPP4	5.0	1.0		4.0	0.3	2.0
ENSG00000001617	SEMA3F	0.1	2.0		0.4	8.0	3.0
ENSG00000001626	CFTR						0.1
ENSG00000001629	ANKIB1	13.0	6.0	7.0	14.0	11.0	21.0
ENSG00000001630	CYP51A1	4.0	4.0	2.0	3.0	2.0	6.0
ENSG00000001631	KRIT1	7.0	10.0	12.0	6.0	5.0	11.0
ENSG00000002016	RAD52	3.0	5.0	6.0	4.0	2.0	2.0
ENSG00000002079	MYH16		0.1				0.3
ENSG00000002330	BAD	14.0	6.0	3.0	28.0	11.0	13.0
ENSG00000002549	LAP3	48.0	25.0	15.0	31.0	13.0	14.0
ENSG00000002586	CD99	51.0	71.0	3.0	73.0	166.0	97.0
ENSG00000002587	HS3ST1	0.2			0.1	0.1	0.2
ENSG00000002745	WNT16	0.1			0.2	1.0	0.1
ENSG00000002746	HECW1	0.2	0.2		0.3	0.1	1.0
ENSG00000002822	MAD1L1	6.0	3.0	7.0	4.0	3.0	8.0
ENSG00000002834	LASP1	33.0	49.0	27.0	52.0	81.0	58.0
ENSG00000002919	SNX11	26.0	11.0	7.0	7.0	5.0	4.0
ENSG00000003056	M6PR	46.0	56.0	72.0	29.0	15.0	30.0
ENSG00000003096	KLHL13	4.0	0.9	2.0	6.0	2.0	1.0
ENSG00000003137	CYP26B1				0.9	3.0	0.3
ENSG00000003147	ICA1	1.0		0.1	0.5		0.2
ENSG00000003249	DBNDD1	2.0	0.3		0.9	0.2	0.8
